Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,79.709999,80.180000,78.449997,79.529999,78.837326,31642900
2020-12-21,78.800003,79.330002,77.739998,79.290001,78.599419,10630500
2020-12-22,78.989998,79.989998,78.239998,79.419998,78.728279,8637800
2020-12-23,79.589996,80.430000,79.570000,79.760002,79.065323,5778700
2020-12-24,80.000000,80.430000,79.870003,80.139999,79.442009,2822000
2020-12-28,80.650002,81.139999,80.129997,80.449997,79.749306,4584200
2020-12-29,80.800003,81.589996,80.760002,81.419998,80.710861,5446600
2020-12-30,81.660004,81.730003,80.540001,80.589996,79.888092,5661600
2020-12-31,80.639999,81.940002,80.379997,81.800003,81.087555,5258700
2021-01-04,82.000000,82.089996,79.879997,80.959999,80.254868,10021600
2021-01-05,80.669998,81.400002,79.910004,81.099998,80.393646,10454700
2021-01-06,80.580002,82.739998,80.309998,82.379997,81.662498,10039500
2021-01-07,82.550003,84.370003,82.070000,84.019997,83.288216,9969400
2021-01-08,84.370003,84.370003,82.550003,83.029999,82.306839,9125100
2021-01-11,83.500000,85.599998,83.250000,85.000000,84.259682,12871400
2021-01-12,85.120003,85.139999,82.550003,83.089996,82.366318,9664700
2021-01-13,83.370003,83.370003,82.220001,82.339996,81.622849,9631500
2021-01-14,82.419998,82.800003,81.879997,82.169998,81.454330,10845800
2021-01-15,81.839996,83.500000,81.559998,83.379997,82.653793,9736200
2021-01-19,83.570000,83.900002,82.660004,83.190002,82.465446,8079500
2021-01-20,83.250000,83.550003,82.269997,82.459999,81.741806,10589600
2021-01-21,81.809998,82.300003,80.959999,81.180000,80.472954,8631300
2021-01-22,80.889999,81.430000,80.760002,80.980003,80.274696,9004700
2021-01-25,80.709999,81.190002,80.059998,81.150002,80.443214,9501600
2021-01-26,81.150002,81.150002,80.129997,80.250000,79.551056,7393400
2021-01-27,79.860001,80.070000,76.839996,77.070000,76.398750,15487000
2021-01-28,77.080002,78.510002,77.070000,77.919998,77.241348,12377900
2021-01-29,77.989998,78.370003,76.389999,77.070000,76.398750,10173300
2021-02-01,77.989998,78.330002,77.339996,77.360001,76.686226,7847900
2021-02-02,77.790001,78.919998,77.699997,77.769997,77.092651,9414800
2021-02-03,77.639999,78.150002,77.150002,77.320000,76.646576,9575200
2021-02-04,76.970001,77.010002,75.540001,76.029999,75.367805,18003400
2021-02-05,76.430000,76.980003,75.410004,75.800003,75.139816,13262200
2021-02-08,75.849998,76.190002,74.660004,75.040001,74.386429,15952800
2021-02-09,75.099998,75.169998,74.360001,75.040001,74.386429,12867000
2021-02-10,75.320000,75.379997,74.540001,74.889999,74.237740,11184700
2021-02-11,74.809998,75.099998,74.230003,74.739998,74.089043,8375400
2021-02-12,74.720001,75.110001,74.540001,75.000000,74.346779,6419700
2021-02-16,75.370003,75.430000,74.050003,74.250000,73.603310,9288600
2021-02-17,74.459999,76.059998,74.370003,75.540001,74.882080,13240900
2021-02-18,75.269997,75.879997,75.040001,75.410004,74.753212,9546400
2021-02-19,75.440002,75.510002,74.260002,74.309998,73.662788,11820800
2021-02-22,74.500000,75.059998,73.730003,74.930000,74.277390,8218000
2021-02-23,75.290001,75.959999,74.459999,74.540001,73.890785,10401200
2021-02-24,74.800003,75.269997,74.389999,74.570000,73.920525,9388200
2021-02-25,74.209999,75.000000,74.080002,74.620003,73.970093,10407400
2021-02-26,74.440002,74.709999,72.540001,72.620003,71.987511,16833900
2021-03-01,73.209999,73.389999,72.180000,72.379997,71.749596,12018000
2021-03-02,72.839996,73.489998,72.400002,72.849998,72.215500,15298600
2021-03-03,72.820000,73.730003,72.419998,73.300003,72.661591,13298500
2021-03-04,73.180000,73.320000,71.720001,72.169998,71.541428,15223600
2021-03-05,72.510002,73.410004,72.010002,73.129997,72.493065,11679200
2021-03-08,74.370003,75.559998,73.400002,74.169998,73.524010,14679400
2021-03-09,74.559998,75.459999,74.129997,74.139999,73.494270,13531200
2021-03-10,74.760002,75.230003,74.099998,74.760002,74.108871,12236900
2021-03-11,74.889999,75.360001,74.589996,74.629997,73.979996,12591600
2021-03-12,74.029999,74.889999,73.989998,74.599998,74.599998,10966300
2021-03-15,75.500000,76.559998,75.080002,76.230003,76.230003,17174900
2021-03-16,76.150002,77.169998,76.139999,76.809998,76.809998,14973400
2021-03-17,76.730003,77.500000,75.970001,77.300003,77.300003,16536000
2021-03-18,77.260002,78.190002,77.209999,77.269997,77.269997,13618800
2021-03-19,77.250000,78.250000,76.019997,77.510002,77.510002,52958200
2021-03-22,75.800003,78.000000,75.540001,77.510002,77.510002,10832900
2021-03-23,77.089996,77.320000,76.029999,76.269997,76.269997,11117600
2021-03-24,76.070000,76.680000,75.910004,76.239998,76.239998,8717000
2021-03-25,76.419998,76.610001,75.309998,76.070000,76.070000,10210800
2021-03-26,76.150002,77.470001,75.849998,77.389999,77.389999,9906000
2021-03-29,77.320000,78.550003,77.169998,78.300003,78.300003,10924200
2021-03-30,78.000000,78.080002,76.790001,76.959999,76.959999,9659700
2021-03-31,77.099998,77.690002,76.639999,77.089996,77.089996,12975400
2021-04-01,77.160004,77.459999,76.820000,77.089996,77.089996,8700200
2021-04-05,77.519997,77.910004,76.779999,77.000000,77.000000,9374300
